"source","target","color","correlation","p"
"COPS7A","C16orf72","#ff5f62","0.215727027176733","5.13303850535607e-08"
"COPS7A","CAND1","#ff5f62","0.206008557785517","2.0391152233401e-07"
"HSF1","HSPA14","#ff5f62","0.262454078086229","2.63926658305991e-11"
"ZNF593","C19orf53","#ff5f62","0.311017960283836","1.77635683940025e-15"
"ZNF593","DDX21","#ff5f62","0.234141750831921","3.1349343121434e-09"
"HSPA14","DDX21","#ff5f62","0.4476421498542","0"
"HSPA14","NCL","#ff5f62","0.384375316946436","0"
"HSPA14","ZNHIT3","#ff5f62","0.364577747719604","0"
"CAND1","COPS4","#ff5f62","0.301380104702244","1.37667655053519e-14"
"PPM1G","MDM2","#ff5f62","0.382974694638925","0"
"PPM1G","PPM1D","#ff5f62","0.370956011550532","0"
"PPM1G","MDM4","#ff5f62","0.366768058583547","0"
"TENT4B","ZCCHC7","#ff5f62","0.600948651948699","0"
"TENT4B","C1D","#ff5f62","0.316829615247185","4.44089209850063e-16"
"TENT4B","PINX1","#ff5f62","0.252974625597428","1.39571465496147e-10"
"TENT4B","EXOSC1","#ff5f62","0.237847732491936","1.73445879880774e-09"
"TENT4B","DDX21","#ff5f62","0.236733558257917","2.0744426176833e-09"
"ZCCHC7","TENT4B","#ff5f62","0.600948651948699","0"
"ZCCHC7","C1D","#ff5f62","0.294148156113042","6.12843109593086e-14"
"ZCCHC7","DDX21","#ff5f62","0.271175517693841","5.37014877011188e-12"
"ZCCHC7","PINX1","#ff5f62","0.259891633385704","4.16768841660087e-11"
"ZCCHC7","EXOSC1","#ff5f62","0.24084737718355","1.06642872310658e-09"
"PSME3","MDM2","#ff5f62","0.323386198649039","0"
"PSME3","NCL","#ff5f62","0.265554295565768","1.50852663693968e-11"
"PSME3","DDX21","#ff5f62","0.251709302611791","1.73436820460893e-10"
"PSME3","HSPA14","#ff5f62","0.243928875424777","6.42648601001383e-10"
"RRS1","ZNHIT3","#ff5f62","0.295430138226851","4.70734562441066e-14"
"RRS1","HSPA14","#ff5f62","0.294774982343761","5.37347943918576e-14"
"TBK1","PPM1D","#ff5f62","0.287622617590495","2.27373675443232e-13"
"TBK1","MDM2","#ff5f62","0.247096199675006","3.79091424917988e-10"
"TP53BP1","TP53","#ff5f62","0.707204302539828","0"
"TP53BP1","USP28","#ff5f62","0.581583014899368","0"
"TP53BP1","ATM","#ff5f62","0.534419332381944","0"
"TP53BP1","CDKN1A","#ff5f62","0.494065124875006","0"
"TP53BP1","CHEK2","#ff5f62","0.476782110948765","0"
"TP53","TP53BP1","#ff5f62","0.707204302539828","0"
"TP53","CDKN1A","#ff5f62","0.67350065807046","0"
"TP53","USP28","#ff5f62","0.662112206714882","0"
"TP53","CHEK2","#ff5f62","0.623839043616417","0"
"TP53","ATM","#ff5f62","0.598401243046263","0"
"CHEK2","TP53","#ff5f62","0.623839043616417","0"
"CHEK2","ATM","#ff5f62","0.532487380250903","0"
"CHEK2","TP53BP1","#ff5f62","0.476782110948765","0"
"CHEK2","CDKN1A","#ff5f62","0.474680779842114","0"
"CHEK2","USP28","#ff5f62","0.407358053559394","0"
"USP28","TP53","#ff5f62","0.662112206714882","0"
"USP28","TP53BP1","#ff5f62","0.581583014899368","0"
"USP28","CDKN1A","#ff5f62","0.488445161236192","0"
"USP28","ATM","#ff5f62","0.430571563527942","0"
"USP28","CHEK2","#ff5f62","0.407358053559394","0"
"GGPS1","TBCE","#ff5f62","0.355161369164857","0"
"GGPS1","TOMM20","#ff5f62","0.346246265573375","0"
"GTF3C2","GTF2H2","#ff5f62","0.238234926106478","1.62951208082518e-09"
"ATM","TP53","#ff5f62","0.598401243046263","0"
"ATM","TP53BP1","#ff5f62","0.534419332381944","0"
"ATM","CHEK2","#ff5f62","0.532487380250903","0"
"ATM","USP28","#ff5f62","0.430571563527942","0"
"ATM","CDKN1A","#ff5f62","0.422980225689192","0"
"CDKN1A","TP53","#ff5f62","0.67350065807046","0"
"CDKN1A","TP53BP1","#ff5f62","0.494065124875006","0"
"CDKN1A","USP28","#ff5f62","0.488445161236192","0"
"CDKN1A","CHEK2","#ff5f62","0.474680779842114","0"
"CDKN1A","ATM","#ff5f62","0.422980225689192","0"
"CPM","TP53","#ff5f62","0.407500217814958","0"
"CPM","TP53BP1","#ff5f62","0.366006268546105","0"
"CPM","CDKN1A","#ff5f62","0.295567961523598","4.57411886145564e-14"
"CPM","USP28","#ff5f62","0.292269274840455","8.94839757847876e-14"
"GTF2A2","GTF2H2","#ff5f62","0.221926313946237","2.05722319179813e-08"
"TOMM20","GGPS1","#ff5f62","0.346246265573375","0"
"TOMM20","TBCE","#ff5f62","0.299675221175828","1.95399252334028e-14"
"SUN5","TP53","#ff5f62","0.187964749392795","2.22370588565113e-06"
"FRS2","EXTL3","#ff5f62","0.414481406016471","0"
"FRS2","EXT2","#ff5f62","0.411029335045831","0"
"FRS2","FGFR1","#ff5f62","0.405460809937267","0"
"FRS2","TP53","#ff5f62","0.357725798986109","0"
"RNFT1","TP53","#ff5f62","0.28836914665066","1.95843341543878e-13"
"RNFT1","CDKN1A","#ff5f62","0.235297419854423","2.60932253581814e-09"
"RNFT1","CHEK2","#ff5f62","0.218958045111929","3.19798281189776e-08"
"RPL22","TP53","#ff5f62","0.326151998843745","0"
"RPL22","TP53BP1","#ff5f62","0.249549298269874","2.50613307883896e-10"
"RPL22","USP28","#ff5f62","0.241291418324646","9.91794202320762e-10"
"RPL22","CDKN1A","#ff5f62","0.236034085753654","2.32009256251331e-09"
"FGFR1","EXTL3","#ff5f62","0.472251428341016","0"
"FGFR1","EXT2","#ff5f62","0.416109755260955","0"
"FGFR1","FRS2","#ff5f62","0.405460809937267","0"
